condition,seed,n_nodes,target,channel,lag_s,group,r2,nrmse
memoryless,2,48,EDA t-20s,EDA,20,slow 20-45 s,0.98677174,0.11501417
memoryless,2,48,EDA t-45s,EDA,45,slow 20-45 s,0.96427818,0.18900217
memoryless,2,48,Resp t-1s,Resp,1,fast 1-3 s,0.02804141,0.98587960
memoryless,2,48,Resp t-3s,Resp,3,fast 1-3 s,0.03651065,0.98157493
memoryless,2,48,Resp t-8s,Resp,8,mid 8 s,-0.00397538,1.00198572
memoryless,2,48,Resp t-20s,Resp,20,slow 20-45 s,-0.00232047,1.00115956
memoryless,2,48,Resp t-45s,Resp,45,slow 20-45 s,-0.00274631,1.00137221
memoryless,2,48,Temp t-1s,Temp,1,fast 1-3 s,0.99470710,0.07275231
memoryless,2,48,Temp t-3s,Temp,3,fast 1-3 s,0.99394229,0.07783131
memoryless,2,48,Temp t-8s,Temp,8,mid 8 s,0.98968554,0.10156013
memoryless,2,48,Temp t-20s,Temp,20,slow 20-45 s,0.97415963,0.16074940
memoryless,2,48,Temp t-45s,Temp,45,slow 20-45 s,0.93693718,0.25112311
memoryless,2,48,HR t-1s,HR,1,fast 1-3 s,0.95003756,0.22352279
memoryless,2,48,HR t-3s,HR,3,fast 1-3 s,0.77018491,0.47939033
memoryless,2,48,HR t-8s,HR,8,mid 8 s,0.69074185,0.55610984
memoryless,2,48,HR t-20s,HR,20,slow 20-45 s,0.61086238,0.62380896
memoryless,2,48,HR t-45s,HR,45,slow 20-45 s,0.56891602,0.65656986
memoryless,3,48,EDA t-1s,EDA,1,fast 1-3 s,0.99857654,0.03772870
memoryless,3,48,EDA t-3s,EDA,3,fast 1-3 s,0.99685454,0.05608442
memoryless,3,48,EDA t-8s,EDA,8,mid 8 s,0.99399258,0.07750757
memoryless,3,48,EDA t-20s,EDA,20,slow 20-45 s,0.98674576,0.11512707
memoryless,3,48,EDA t-45s,EDA,45,slow 20-45 s,0.96416137,0.18931093
memoryless,3,48,Resp t-1s,Resp,1,fast 1-3 s,0.03084748,0.98445545
